time = 1.000000e-07, dt=1.000000e-07, e(0)=3.948746e+07
time = 2.200000e-07, dt=1.200000e-07, e(0)=3.946053e+07
time = 3.640000e-07, dt=1.440000e-07, e(0)=3.938970e+07
time = 5.368000e-07, dt=1.728000e-07, e(0)=3.925006e+07
time = 7.441600e-07, dt=2.073600e-07, e(0)=3.900590e+07
time = 9.929920e-07, dt=2.488320e-07, e(0)=3.860757e+07
time = 1.291590e-06, dt=2.985984e-07, e(0)=3.798890e+07
time = 1.649908e-06, dt=3.583181e-07, e(0)=3.706682e+07
time = 2.079890e-06, dt=4.299817e-07, e(0)=3.574659e+07
time = 2.595868e-06, dt=5.159780e-07, e(0)=3.393645e+07
time = 3.038771e-06, dt=4.429030e-07, e(0)=3.229810e+07
time = 3.438511e-06, dt=3.997402e-07, e(0)=3.078964e+07
time = 3.812128e-06, dt=3.736166e-07, e(0)=2.937969e+07
time = 4.168751e-06, dt=3.566229e-07, e(0)=2.805213e+07
time = 4.514081e-06, dt=3.453301e-07, e(0)=2.679691e+07
time = 4.852046e-06, dt=3.379649e-07, e(0)=2.560701e+07
time = 5.185566e-06, dt=3.335200e-07, e(0)=2.447711e+07
time = 5.585790e-06, dt=4.002239e-07, e(0)=2.318266e+07
time = 6.054179e-06, dt=4.683898e-07, e(0)=2.176217e+07
time = 6.496467e-06, dt=4.422880e-07, e(0)=2.052196e+07
time = 6.917021e-06, dt=4.205535e-07, e(0)=1.943347e+07
time = 7.321131e-06, dt=4.041103e-07, e(0)=1.846885e+07
time = 7.712875e-06, dt=3.917434e-07, e(0)=1.760690e+07
time = 8.093870e-06, dt=3.809954e-07, e(0)=1.683433e+07
time = 8.466355e-06, dt=3.724850e-07, e(0)=1.613818e+07
time = 8.836162e-06, dt=3.698068e-07, e(0)=1.550140e+07
time = 9.205969e-06, dt=3.698068e-07, e(0)=1.491516e+07
time = 9.575776e-06, dt=3.698068e-07, e(0)=1.437580e+07
time = 9.945582e-06, dt=3.698068e-07, e(0)=1.387968e+07
time = 1.031539e-05, dt=3.698068e-07, e(0)=1.342332e+07
time = 1.068520e-05, dt=3.698068e-07, e(0)=1.300334e+07
time = 1.105500e-05, dt=3.698068e-07, e(0)=1.261659e+07
time = 1.147398e-05, dt=4.189730e-07, e(0)=1.221580e+07
time = 1.189295e-05, dt=4.189730e-07, e(0)=1.184974e+07
time = 1.237412e-05, dt=4.811760e-07, e(0)=1.146874e+07
time = 1.291433e-05, dt=5.402032e-07, e(0)=1.108479e+07
time = 1.352551e-05, dt=6.111839e-07, e(0)=1.069626e+07
time = 1.411323e-05, dt=5.877170e-07, e(0)=1.036177e+07
time = 1.468124e-05, dt=5.680105e-07, e(0)=1.007053e+07
time = 1.523621e-05, dt=5.549714e-07, e(0)=9.812596e+06
time = 1.578277e-05, dt=5.465613e-07, e(0)=9.580954e+06
time = 1.632575e-05, dt=5.429776e-07, e(0)=9.369501e+06
time = 1.686873e-05, dt=5.429776e-07, e(0)=9.174632e+06
time = 1.741170e-05, dt=5.429776e-07, e(0)=8.994467e+06
time = 1.795468e-05, dt=5.429776e-07, e(0)=8.827313e+06
time = 1.849766e-05, dt=5.429776e-07, e(0)=8.671662e+06
time = 1.910715e-05, dt=6.094917e-07, e(0)=8.509452e+06
time = 1.971664e-05, dt=6.094917e-07, e(0)=8.358401e+06
time = 2.032614e-05, dt=6.094917e-07, e(0)=8.217102e+06
time = 2.093563e-05, dt=6.094917e-07, e(0)=8.084353e+06
time = 2.154044e-05, dt=6.048152e-07, e(0)=7.960044e+06
time = 2.213103e-05, dt=5.905915e-07, e(0)=7.844936e+06
time = 2.270939e-05, dt=5.783576e-07, e(0)=7.737566e+06
time = 2.327761e-05, dt=5.682152e-07, e(0)=7.636703e+06
time = 2.383764e-05, dt=5.600338e-07, e(0)=7.541333e+06
time = 2.439156e-05, dt=5.539197e-07, e(0)=7.450576e+06
time = 2.494162e-05, dt=5.500640e-07, e(0)=7.363649e+06
time = 2.548983e-05, dt=5.482095e-07, e(0)=7.279904e+06
time = 2.603804e-05, dt=5.482095e-07, e(0)=7.198812e+06
time = 2.658625e-05, dt=5.482095e-07, e(0)=7.120168e+06
time = 2.713446e-05, dt=5.482095e-07, e(0)=7.043791e+06
time = 2.768267e-05, dt=5.482095e-07, e(0)=6.969524e+06
time = 2.823088e-05, dt=5.482095e-07, e(0)=6.897227e+06
time = 2.877909e-05, dt=5.482095e-07, e(0)=6.826779e+06
time = 2.939712e-05, dt=6.180325e-07, e(0)=6.749488e+06
time = 3.001515e-05, dt=6.180325e-07, e(0)=6.674270e+06
time = 3.070785e-05, dt=6.926973e-07, e(0)=6.592329e+06
time = 3.140055e-05, dt=6.926973e-07, e(0)=6.512691e+06
time = 3.217494e-05, dt=7.743895e-07, e(0)=6.426277e+06
time = 3.294933e-05, dt=7.743895e-07, e(0)=6.342423e+06
time = 3.372372e-05, dt=7.743895e-07, e(0)=6.261000e+06
time = 3.449811e-05, dt=7.743895e-07, e(0)=6.181899e+06
time = 3.527250e-05, dt=7.743895e-07, e(0)=6.105024e+06
time = 3.604689e-05, dt=7.743895e-07, e(0)=6.030295e+06
time = 3.682128e-05, dt=7.743895e-07, e(0)=5.957643e+06
time = 3.759567e-05, dt=7.743895e-07, e(0)=5.887007e+06
time = 3.837006e-05, dt=7.743895e-07, e(0)=5.818332e+06
time = 3.914444e-05, dt=7.743895e-07, e(0)=5.751570e+06
time = 3.991883e-05, dt=7.743895e-07, e(0)=5.686680e+06
time = 4.069322e-05, dt=7.743895e-07, e(0)=5.623622e+06
time = 4.146761e-05, dt=7.743895e-07, e(0)=5.562360e+06
time = 4.224200e-05, dt=7.743895e-07, e(0)=5.502858e+06
time = 4.301639e-05, dt=7.743895e-07, e(0)=5.445083e+06
time = 4.379078e-05, dt=7.743895e-07, e(0)=5.389004e+06
time = 4.456253e-05, dt=7.717455e-07, e(0)=5.334770e+06
time = 4.531557e-05, dt=7.530476e-07, e(0)=5.283403e+06
time = 4.605228e-05, dt=7.367033e-07, e(0)=5.234609e+06
time = 4.677514e-05, dt=7.228604e-07, e(0)=5.188106e+06
time = 4.748650e-05, dt=7.113642e-07, e(0)=5.143648e+06
time = 4.818862e-05, dt=7.021197e-07, e(0)=5.101013e+06
time = 4.888371e-05, dt=6.950901e-07, e(0)=5.060000e+06
time = 4.957401e-05, dt=6.902956e-07, e(0)=5.020422e+06
time = 5.026158e-05, dt=6.875696e-07, e(0)=4.982118e+06
time = 5.094851e-05, dt=6.869291e-07, e(0)=4.944941e+06
time = 5.163544e-05, dt=6.869291e-07, e(0)=4.908827e+06
time = 5.232236e-05, dt=6.869291e-07, e(0)=4.873751e+06
time = 5.300929e-05, dt=6.869291e-07, e(0)=4.839686e+06
time = 5.369622e-05, dt=6.869291e-07, e(0)=4.806605e+06
time = 5.438315e-05, dt=6.869291e-07, e(0)=4.774481e+06
time = 5.507008e-05, dt=6.869291e-07, e(0)=4.743286e+06
time = 5.583378e-05, dt=7.637004e-07, e(0)=4.709698e+06
time = 5.659748e-05, dt=7.637004e-07, e(0)=4.677185e+06
time = 5.743999e-05, dt=8.425070e-07, e(0)=4.642556e+06
time = 5.828250e-05, dt=8.425070e-07, e(0)=4.609135e+06
time = 5.922740e-05, dt=9.449064e-07, e(0)=4.573079e+06
time = 6.017231e-05, dt=9.449064e-07, e(0)=4.538402e+06
time = 6.111722e-05, dt=9.449064e-07, e(0)=4.505032e+06
time = 6.206212e-05, dt=9.449064e-07, e(0)=4.472900e+06
time = 6.300703e-05, dt=9.449064e-07, e(0)=4.441936e+06
time = 6.395193e-05, dt=9.449064e-07, e(0)=4.412074e+06
time = 6.489684e-05, dt=9.449064e-07, e(0)=4.383248e+06
time = 6.594875e-05, dt=1.051912e-06, e(0)=4.352346e+06
time = 6.700066e-05, dt=1.051912e-06, e(0)=4.322566e+06
time = 6.805258e-05, dt=1.051912e-06, e(0)=4.293828e+06
